"","fit_gee.coefficients"
"(Intercept)",0.0342873014596677
"sum_step.log",0.221488028109353
"jbsteps30pre.log",0.405564588120953
"dec.temperature",0.00847472600198081
"sd_steps601",0.158923897672878
"dosage",-0.00684120794695985
"send1",0.0669567387004318
"home.location1",-0.24840215849897
"dosage:send1",-0.0267027785496803
"sd_steps601:send1",-0.237969316516834
"send1:home.location1",0.364112797874228
