"","fit_gee.residuals"
"3",1.3437099468197
"4",1.14693805441009
"5",2.3628802202093
"6",-2.53844704974221
"7",0.537399046846619
"8",1.28460778113269
"9",1.84488278761249
"10",0.942501249301427
"11",-2.81709439338813
"12",0.416206902577338
"13",1.11218835225877
"14",1.81811838504573
"15",0.0377998850151027
"16",-2.66611396295338
"17",1.70979844189882
"18",2.0150639972263
"19",0.209888073310228
"20",0.465633125334622
"21",-2.42198962827519
"22",-4.37099772624877
"23",5.72406333657826
"24",2.17777211459584
"25",2.32755588523962
"26",-2.57925079693903
"27",1.78655650477579
"28",6.11238130927256
"29",0.847705783080635
"30",2.30558632858547
"31",3.56552709758065
"32",5.6011134511016
"33",-5.19496769578075
"34",0.428356625908636
"35",1.03321676098191
"36",4.27383695126608
"37",-1.19314814435871
"38",-0.113071584701427
"39",-5.69512842412703
"40",-4.90905296593548
"41",2.45341491164426
"42",0.647805146406624
"43",2.11573115776879
"44",2.18905449675879
"45",2.97885680110915
"46",-2.61600829391869
"47",0.303060543557909
"48",1.42182879227363
"49",1.55247840137348
"50",2.05624644010656
"51",-2.44714346193443
"52",2.31082114654713
"53",0.758266947389877
"54",0.89164117375039
"55",1.119713351952
"56",3.02204500838649
"57",-3.87759913666805
"58",-4.99602077301247
"59",1.83685742295885
"60",5.05535152916896
"61",4.50540463574486
"62",1.13518009925263
"63",-4.2057740189515
"64",1.64831137771665
"65",-0.68540744143097
"66",4.61156457556867
"67",1.0515311275612
"68",1.64918886031651
"69",-0.872307549210925
"70",2.37260693421458
"71",3.25262362251551
"72",0.841720580229395
"73",-5.5957840939492
"74",-0.943609645643512
"75",1.52576454258915
"76",2.0329774057091
"77",1.47328292970628
"78",0.394217348777406
"79",0.216700877235109
"80",2.0199168571253
"81",-2.43521969244719
"82",1.98350496317314
"83",1.67491442549818
"84",1.70680479509719
"85",1.83822649049838
"86",-2.65127782702375
"87",2.12024153464001
"88",-0.779425565672637
"89",2.32282070995312
"90",1.7952234911918
"91",3.9207241427153
"92",1.70584152531422
"93",3.27161272508582
"94",0.802379365026857
"95",1.65441916454849
"96",4.12120641360309
"97",2.02501566066362
"98",-2.42512476702564
"99",0.937819749415744
"100",3.68280478454135
"101",-2.17259375046565
"102",2.78984232700484
"103",0.773579193894488
"104",-3.89109389096299
"105",-4.50524677546953
"106",-2.22210211803931
"107",-5.056926219337
"108",-0.030796427451182
"109",-4.78276559153176
"110",0.925523038658755
"111",5.00201785638511
"112",1.76542369969863
"113",1.43635578619303
"114",2.51166648154207
"115",-2.3043794387591
"116",4.96281605907783
